no.ofsimilartips,tip
15,The service was great as well.
15,"The food is delicious, the service is professional and attentive, and the space is beautiful."
15,The service is always great and we always have a good time.
15,I absolutely love this place
15,The service was very attentive and the atmosphere was fine.
15,Came for brunch
15,Great brunch spot
15,I would definitely go again.
15,Nice ambiance good service and excellent food
15,"atmosphere is great, wait staff is very attentive, and the food is delish!"
14,The Nutella French toast is AMAZING
14,I HIGHLY recommend it
14,The waitress was really attentive and friendly.
14,Great food and decor
14,I LOVE LOCALE
14,Will absolutely go back
14,The staff was awesome and the food was great!
14,I highly recommend it
14,I'll come back.
14,Wait staff was very attentive.
13,The best brunch place in Astoria
13,love the atmosphere here
13,Would definitely come again
13,Love the ambiance and food
13,"The service was excellent, our server was very friendly and attentive."
13,Came here for brunch with a friend
13,It was SO GOOD.
13,The french toast was good.
13,I'll definitely be coming back to check this place out for dinner!
13,Love the food  ambiance
13,I would definitely want to come back for brunch or dinner again!
12,The food was good and the drinks were strong.
12,Highly recommend this restaurant
12,Our waitress was awesome and service was excellent!
12,VERY good
12,Came here for a weekend brunch
12,Nutella French toast stuffed Texas toast is soooooooooo amazing
12,The staff was really nice and attentive.
12,And the waitress was nice.
12,Came here for Saturday brunch with friends
12,This is my new favorite brunch place in all of Astoria.
12,Will come again
12,The staff is hip and the food is good.
12,It was AMAZING
12,"The service is great, the prices are fair, and the food is delicious!"
12,Love this place so much
12,Overall our experience at Gastroteca was great and I will definitely come back.
11,Will go back again to try other dishes
11,They were delicious
11,"The food was good, drinks perfectly awesome, and service was fantastic."
11,both were very good.
11,We will most defiantly be back.
11,The food is fantastic and the service has always been wonderful.
11,"Food, service and decor are all great."
11,I can't wait to come back to Queens to come here again!
11,Everything was delicious.
11,The drinks were good.
11,We'll definitely have to go back for dinner!
11,Went here for brunch on a Saturday
10,and the food is fresh and always taste great!
10,I will definitely be coming back for drinks - the beer selection is excellent!
10,The food is good and the prices are reasonable.
10,The food here is absolutely delicious!
10,Really great place in Astoria.
10,All the food was really good.
10,"I like the place, service was very good, our waitress was helpful."
10,The Nutella French toast is a must try
10,Came here for brunch on Sat
10,Saturday brunch was good.
10,Came here for brunch on a Saturday and was quickly seated
10,I don't know if I will ever be back.
9,Drinks were good.
9,Will be back for more texas toast and shrimp grits
9,The Texas toast was amazing
9,The server was nice and attentive.
9,The drinks are good and strong; service is always excellent.
9,Cannot wait to come back here
9,Love the atmosphere of this place very chic
9,One of the best Italian restaurants in Astoria!
9,"The food is always outstanding, the drinks are wonderful, and they have excellent service."
9,"The service was great at first, waitress was lovely and friendly and attentive."
9,"The service was great, but the food was pretty ""just Ok"" all around."
9,The decor is beautiful.
9,Awesome pasta awesome space awesome service
9,Both were delicious
9,"The restaurant is attractive, service has always been great, and the food is tasty."
9,Came here around 11am for Saturday brunch
9,All were very good.
9,Delicious food and cocktails
9,We'll be back again for your delicious food and wonderful service!
9,"Overall, I would recommend this restaurant to my friends and I will definitely be back to try the grits and carbonara."
9,Loved this place
9,Both were delicious
9,They were all so delicious
9,But the food was wonderful!
9,Highly recommend Meal was good.
9,Would go back for sure
9,"Drinks, decor, service was great!"
9,The Texas toast was amazing
9,Delicious French toast with nutella and eggs benedict
8,Great place for a date or with friends
8,Definitely would recommend to friends
8,Our waitress was super nice.
8,I would definitely order this again.
8,The food was delicious and the ambiance was incredible.
8,Really nice brunch spot.
8,Everything on the menu is delicious!
8,Never coming back here again
8,The waffle was good.
8,The service is always great and the food is incredible.Have the specials...they are out of this world.
8,Will not eat here again
8,I have been here several times and the food has been consistently good.
8,The portions are very small.
8,"The service was excellent, the coffee was excellent, and our dishes were OUTSTANDING."
8,New favorite brunch spot
8,This is an amazing gem of a place in Astoria
8,I'd like to try their brunch menu.
8,Cant you tell we love this place
8,The homemade pasta is delicious and the service is great.
8,I would return.
8,I absolutely love this place and so does my fiance
8,Will return again with friends
8,The decor was nice and cozy.
7,Definitely recommend it
7,Service is really good and atmosphere is cool.
7,Really friendly and helpful staff
7,On a weekend
7,"The wait staff is very attentive, the decor is stunning, and the food is fabulous."
7,Best brunch in Astoria for sure
7,"I would probably go back, but will  have outdoor seating."
7,"Service was good, food was very nicely prepared."
7,"I would definitely come back for drinks and to check out the brunch, but i don't think this is the spot for dinner."
7,"The drinks are great, too!"
7,Our experience at Gatroteca was great and we will be back for brunch.
7,"The ambiance and service was good, but the food was by far the best part."
7,My favorite place to eat in Astoria
7,I definitely recommend a try
7,Definitely check it out
7,Great brunch menu
7,Everything was absolutely amazing
7,I highly recommend ordering this
7,I was very impressed with the service and the food was ABSOLUTELY AMAZING
7,Our waitress was sweet.
7,Very attentive and very quick
7,Ambience is very nice at this place.
7,Favorite neighborhood spot in Astoria
7,Cant wait to come back for dinner time
7,Our waiter was very nice.
7,"I won't be coming back here, for brunch or dinner."
7,Our bartender was very attentive and friendly.
7,Great dinner and we can't wait to come back and try the brunch.
7,So good
7,Everything looked amazing
7,Nice outdoor seating area
6,The waitress was super nice.
6,The specials are great too.
6,Came here on Sunday for brunch with another couple and it was absolutely amazing
6,"I've had a nice experience coming here each time with my husband, though, and we'll definitely be back."
6,The coffee was delicious and the atmosphere was nice.
6,DO NOT EAT
6,The service is top notch.
6,Food and service are best in Astoria.
6,the ambiance of the place is also great as well so definitely a great place for a big group.
6,"The menu is always fresh, seasonal and delicious and the dining experience is always nice."
6,Everyone loved the fresh food and it was a great atmosphere.
6,"For a nice Astoria brunch, the prices are average and the food is good."
6,Came here with my boyfriend on a Saturday night
6,Sunday brunch
6,Now the food is pretty good.
6,It's just good!
6,I cannot wait to go back.
6,Great ambiance with friendly service
6,Hands down my favorite restaurant in Astoria
6,"Overall, the food has been good."
6,I will not return.
6,The food is delicious and consistent.
6,Their french toast for brunch is delicious.
6,Very creative dish that I highly recommend
6,Service was very attentive and the restaurant has a warm and cozy atmosphere.
6,Like the nice and cozy ambience
6,"I've been there 5+ times now, and every time the food has been outstanding."
6,My California Benedict was delicious!
6,I had crispy gnocchi and it was amazing
6,"Went here for brunch and had the nutella french toast, which was pretty good (crunchy corn flake toast stuffed w/nutella)."
6,I had the Nutella stuffed French toast-it was scrumptious.
6,The staff is very kind.
6,Everything is good!
6,I highly recommend the lamb ragu
6,My very first brunch spot in Astoria!
6,Food was good although portions were a bit small.
6,No absolutely not
6,All in all great meal great atmosphere great waitstaff
6,"Nevertheless, I will be back, and maybe that will result in a changed review as well!"
6,Came here on a Thursday afternoon for brunch
6,Went to Locale for an early dinner last night
6,"I got the california benedict, and it was absolutely delicious."
6,"The atmosphere is great, the decor is homey, this place is a fantastic brunch spot."
6,I am a fan and I will return!
6,It was fantastic
6,"As for the food, the Eggs Benedict dishes were pretty good."
6,Everyone was delicious!!!
6,We will return!
6,I'll definitely come back Really reliable quality of food and service.
6,"I got the California Benedict with a side of home fries, both were simply delicious."
6,I have been here several times and have not been disappointed.
6,Love the feel of the entire place love that there is no TV and loved our bartender
6,"The decor and ambiance are excellent, and the service at the bar was perfect."
6,We have been here many times before.
6,The home fries were great as well.
6,Service was good and on top of things.
6,Came here for an early Sunday dinner
5,The home fries were well seasoned and delicious
5,Delicious Brunch menu
5,Came here on labor day for brunch
5,The atmosphere was perfect.
5,If you check in with the Yelp app you get 10 off the bill
5,I love a great blood mary and this place definitely delivered on that
5,Amazing dusted texas toast
5,Would definitely come here again for the service and romantic chill vibe
5,Everything we ordered was delicious
5,The service is not bad!
5,Another gem in Astoria
5,I highly recommend the benedicts and the texas toast is amazing its stuffed with nutella
5,Absolutely terrible service.
5,Will return very shortly
5,-- My sandwich was really good!
5,I highly recommend this place BUT DONT  SIT AT THE BAR
5,The restaurant is spacious and beautiful.
5,Our waiter was great.
5,One of the best brunches in Astoria
5,"Not only was the food great, but the atmosphere was beautiful and very now!"
5,Fresh beautiful and delicious
5,I have been here a few times and every pasta dish I have tried has been amazing
5,Wonderful service delicious food lovely ambience
5,The wait staff is very attentive and considerate.
5,Best Italian place in Astoria hands down
5,The food is fresh and tasty.
5,Went here for brunch yesterday and the food was good and staff was friendly.
5,Great neighborhood spot
5,We came for a late brunch.I ordered eggs benedict with smoked salmon.
5,Definitely recommend eating here
5,The food was good but pretty expensive for the portions.
5,We were seated immediately
5,What a gem in the heart of Astoria
5,Been twice for brunch and everything has been wonderful!
5,Overall I would come back and recommend it to a friend!
5,Came in for brunch Sunday early afternoon
5,Favorite brunch spot--have been here several times and love the food.
5,This place is my favorite restaurant in the city.
5,My favorite restaurant in queens
5,But over a great place
5,This is definitely one of my top dinner brunch spots in Astoria
5,The decor is beautiful and the overall atmosphere is cozy.
5,The location and seating/look of the restaurant is really nice but the food and service is not that great.
5,Great brunch location
5,It was a delicious combination I would definitely order it again.
5,"Overall a disappointing meal, and I would not come again."
5,"The food is average, but expensive."
5,the Meh
5,"Food was ok, decor was very charming, service was terrible."
5,"Our drinks were refilled on time, and they were absolutely delicious."
5,and the drinks look good.
5,"Decor was beautiful, food and cocktails were delicious!!!"
5,The ambience inside the restaurant has a nice vibe.
5,Initially the service was good.
5,The only nice thing was the friendly staff.
5,My friend's omelette was good as well.
5,The drinks were incredible.
5,"The prices are pretty good for a cute place, but the food is not worth it."
4,With  that said and after eating here 15 times I highly recommend it for a special occasion
4,Seriously amazing
4,Seriously crispy gnocchi
4,A GREAT place in Astoria A MUST try for all
4,Eggs Benedict is a must
4,Perfect for Brunch and Dinner
4,We absolutely LOVE locale  Its one of our favorite restaurant in Astoria
4,I went for the first time for Sunday Brunch and had a really good time.
4,Both were delicious but the bacon crostini was amazing
4,Highly recommend bringing some friends here to brunch right
4,"I know we'll be back Um, seriously?"
4,The staff is as amazing as the food
4,"Good service, design, and meals of course Food and service was great - we were the first ones in and the service was really helpful The eggs Benedict for brunch is a must."
4,Food was generally good.
4,"The ambiance is great, and the friendly staff really adds to a relaxed atmosphere."
4,Even the drinks
4,The poached eggs and the atlantic salmon were pretty good.
4,I'll be back with or/and without my family.
4,Worth a second visit
4,Definitely need to check that out
4,The service is always friendly and for the price youre getting a great dinner
4,They were so cute!
4,"I would still come back though, especially to try their brunch!"
4,"yum yum food, lamb is perfect.very good brunch and dinner."
4,At least I know I will never again.
4,Sunday brunch is the best!
4,Great atmosphere delicious and imaginative food and friendly and attentive staff
4,Came here for some delicious brunch - I was told that it may be the second best place for brunch in Astoria.
4,nice scene for a brunch spot
4,The wait staff was attentive and courteous and overall it was a very fun dining experience.
4,Dont eat here
4,Eggs Florentine  Yum
4,Only came for brunch but eggs benedict was well done
4,Its a great place for a date or special occasion
4,I highly recommend this place to have a martini with friends or to go on a romantic date
4,The piece of toast and the home fries it came with were delicious
4,Over priced and over hyped food
4,I also had the Freddy Kreuger-a Bloody Mary with jalapeño infused vodka-which was amazing.
4,So for that thumbs down nice atmosphere nice staff Great brunch spot
4,I've been meaning to write a review on locale since I've been here many times.
4,Cant wait to try dinner
4,The waitress was quite funny and very attentive.
4,Overall this place really won a soft spot in my heart and we will definitely be back.
4,Definitely recommend for a casual brunch
4,If the weather is nice try and sit outside.
4,highly recommend if you look delicious Italian food!
4,cant wait to go back again with my fiancé
4,Had dinner with a friend here on Saturday evening
4,Service was.. Ok. Everyone was very nice.
4,Totally reasonable prices.
4,Dont eat here
4,No complaints.The crispy gnocchi was not as crispy as I wished.
4,Nice decor friendly and attentive waiters and good food
4,But other than that I would not go back.
4,Wonderful service and delightful food
4,Disappointing brunch and overall experience
4,Cant wait to go back here and take more friends
4,Super cute place for brunch
4,Had an awesome brunch here Sunday
4,Not great not bad
4,The ambience was nice and comfortable.
4,The home fries were good but the portion was small.
4,I would come back in the future!
4,I had the salmon and it was absolutely delicious.
4,The cocktails are great.
4,I also highly recommend their mango juice
4,But never again
4,I had a delicious omelette the  Texas toast with nutella and a body Mary
4,"Overall, I enjoyed the food, and I saw other items on the menu I wanted to try, so I will definitely be going back!"
4,Friendly attentive staff and cozy intimate ambience
4,One of my favorite brunch places
4,It was light but delicious
4,Solid brunch spot in Astoria on a quiet street
4,Both vodkabased and both amazing
4,I would recommend this place to anyone.
4,I would come back to try their eggs benedict next time.
4,I had the scampi and grits which was amazing
4,But delicious nonetheless
4,This salad was delicious!
4,Don't know if I'd come again.
3,Went to Locale on a Tuesday night with a friend
3,They were relatively good.
3,Sangria yum
3,Decor was so cute!!
3,Go visit this place
3,Excited to come here for Brunch
3,Mediocre all around
3,For brunch at least
3,Their pasta dishes and fish specials are always fantastic.
3,Cute place rustic looking
3,The chicken was perfectly seared and cooked
3,Once again it was delicious
3,Needless to say worth a visit
3,Great for romantic dates as well
3,Fabulous little gem in the heart  of Astoria If you are looking  for a selective brunch this is the place to be
3,Excellent specials and brunch service as well
3,Very attentive in my opinion
3,Best tiramisu I have had in QueensBonus 10 off bill when you check in on Yelp
3,Ive never been disappointed with Locale
3,Yum
3,Went for Queens Restaurant Week menu
3,The food was exceptional.
3,The ambiance in this restaurant was very cute and the wait staff was excellent.
3,This is our go-to Special Occasion place.
3,Just dont
3,It was unique and delicious
3,Eggs Benedict (Italian) were good.
3,The prices are good and you get enough food.
3,Just dont
3,The Belgian waffles were pretty good.
3,The place was empty.
3,Cute place to go for brunch
3,I had the eggs benedict with canadian bacon and it was SO GOOD.
3,It's a great little Italian  restaurant in the heart of astoria.
3,And our waitress Gabriella was super nice and fun.
3,Its a great date night place or brunch with the ladies on a weekend
3,Definitely going to return
3,"Gastroteca is a great, inexpensive brunch spot in Astoria."
3,Solid brunch spot in this area
3,Pretty sure that this is my new favorite brunch place.
3,I'd love to bring a date here for a romantic dinner... it looks like a great date spot!
3,There were tables open and we were seated immediately
3,"We came here for the burger, but were too late for the brunch menu so we ordered dinner instead."
3,"The decor is gorgeous, and the service is generally excellent."
3,if i came back here at all it would be for drinks only.
3,Cute little spot in Astoria
3,Probably wont go back
3,Walked past it and decided to check it out for Saturday brunch
3,As usual great food and relaxed atmosphere
3,What a delightful little gem in Astoria!
3,Love the outdoor seating is great for when the weather is nice.
3,Tasted the gnocchi and the rigatoni bolognese as well both were delicious
3,One of my favorite places for brunch
3,Nice for a date
3,Came here with a big group
3,Would like to try brunch one day
3,"The meal was a solid ""C""."
3,It's not bad but it wasn't great.
3,Food is fantastic and portions are large.
3,"Nice ambience, friendly helpful staff, hip vibe......"
3,Amazing pasta dishes
3,Perfectly cooked  seasoned with love
3,"The drinks are great, the staff is very helpful, & the food is amazing!Really great pasta dishes, appetizers and their drinks are great."
3,Unfortunately the menu was limited
3,We are not bad guys.
3,Staff is very courteous.
3,Again not excellent but good
3,The coffee is strong and the servers are good.
3,I will definitely recommend this restaurant to family and friends and I'll be back sooner rather than later.
3,The owner is very kind as well.
3,Otherwise the food was spot on  would definitely come back for more
3,The menu is limited but the food is so clean and appropriate for the space.
3,The waitress's service was AWFUL.
3,A very welcoming restaurant with beautiful outdoor seating
3,One of my goto places in Astoria
3,The most amazing restaurant in Queens
3,This place is apparently good for pasta.
3,First and last time for brunch here
3,The food is delicious and beautifully presented.
3,Burrata was the best one.
3,My goto Saturday brunch spot
3,Good appetizers as well
3,Absolutely in love with the sandwich
3,Would certainly go back
3,I ordered the California Benedict and I'm so glad I did as It was delicious and portion was just right!
3,the brunch next time for us
3,"Just a great atmosphere, on a very nice quiet street!"
3,Next time we'll definitely try the crispy gnocchi appetizer.
3,"i've been to locale twice for dinner, and it's been really good experiences both times."
3,Overall its well worth a visit
3,The service was horrible!
3,This restaurant has a modern decor with outdoor seating that I like.
3,The bloody Mary was disappointing.
3,The food was amazing love the fresh pasta and the cheese plate was great.
3,Nonetheless the fish was cooked perfectly
3,Both portions small and very disappointing
3,He argued that they carry GF pasta and she should have ordered that.We calmly explained that she ordered a dish that the chef said was GF.
3,I'll most likely never eat here again.
3,Will definitely be back now that the sun is starting to come out and they have some outdoor seating
3,She told us she would ask the chef himself to make sure anything we ordered was GF.
3,Everything was great after the food arrived.
3,Looking forward to it
3,Went for dinner last night
3,"Love the vibe, the food is delicious yet not pretentious."
3,He said the sauce was amazing
3,Dinner was just delicious!!
3,The french toast was perfectly crispy while the nutella melts in your mouth.
3,I will spare the details of the rest but I will never come back to this restaurant.
3,The drinks as always top notch
3,The service was also top-notch.
3,"this place is ok, is does have a great location and decor, but the menu is tiny."
3,The place is nice mellow environment limited menu.
3,"If you check in on yelp, you can get 10% off the entire bill, so that's another plus."
3,Their bloody Mary's were pretty good.
3,The food was DELISH- we ordered the nutella french toast for the table and it was devoured in seconds.
3,Now for the negative you check in on yelp and are SUPPOSED to get 10 off
3,Very patient as well
3,It is SO disappointing.
2,Had a late brunch here
2,A little on the expensive side
2,Reasonably priced and nice decor inside
2,"The place was empty, but we waited for food for at least 40 minutes."
2,Ok  fine
2,The Freddy Kreuger Bloody Mary is a must
2,We are so glad we have this restaurant in Astoria- it's a gem!!!
2,"Don't get me wrong, the food was good!"
2,But the food was SO slow to come out.
2,A beautiful little spot on an unassuming street in Astoria.
2,I ordered the salmon dish which I thought was very good.
2,The   salmon and egg were very salty and the fries were just meh.
2,Service was pretty slow for a small place.
2,They offer pretty original food combinations and they were all delicious.
2,I really do
2,But at Locale the prices are reasonable.We went for brunch but I will go back and have lunch and dinner.
2,The wine is mediocre for the price and the service is very MEH.
2,It's an interesting space if not entirely comfortable and the service was not bad.
2,They were so great and professional.
2,I had the lobster ravioli last time I went and it was so good.
2,"I'd recommend this restaurant to anyone that can appreciate good food, and a nice warm and cozy ambiance!"
2,Everything was good except the polenta was a bit too salty.
2,Whats wrong with you guys
2,We were seated inside
2,Oh my God eat here for delicious moderately priced Italian food
2,"The atmosphere is great, the servers are friendly and the outside seating is lovely."
2,Came here for dinner once and was impressed
2,Love the look of the bar
2,Nothing spectacular but it was definitely good.
2,Needless to say I will not be returning.
2,So my husband found Locale and I am so glad he did.
2,Pretty standard but tasted good
2,Its definitely a nice spot
2,"Service is always attentive, and the decor is hip, but there's no pretentious vibe here."
2,It was delicious but a little too salty
2,I'll give it one more chance.
2,I have not yet been there for Brunch but my husband and I go often for dinner and its always delicious food and great service.
2,Decided to check this place out this morning for a solo brunch
2,This place is beautiful very rustic I'd say.
2,"This was wonderful too).Overall, it was a wonderful dining experience, our waiter was very attentive and our waters were never empty."
2,But not worth 12 at all
2,"BUT, the service was absolutely horrendous."
2,Cute decor and a super comfy lounge area
2,Came here for brunch and had their belgian waffles and smoked atlantic salmon crostino
2,"Let me start off by saying, the place looks cute."
2,"I would return if in the area, would try dinner next time."
2,Good food and hard working service
2,Our coffee is empty.
2,"But overall, that was the most disappointing aspect of the meal."
2,Stay for the cocktails
2,Great place to bring a date or a small group of friends
2, Lamb ragu with goat cheese
2,Tasted fine but you know
2,Come for the chicken and waffles
2,I great spot to have Friday brunch
2,Our waiter Colin was great!
2,Find me here for Brunch every weekend
2,"The service is always kind and attentive and, above all, the food is really tasty - simply, but well done!"
2,"The staff was friendly and helpful, amibance was nice and cozy but the food tasted only decent and they were not generous with their portions."
2,There is a small outdoor seating area in the front
2,Let's just start by saying that the service was definitely 5 star worthy - everyone was so nice and helpful.
2,"Drinks here aren't cheap and neither is the food but the service is excellent, the food but is well done and overall Locale is probably one of the better restaurants in Astoria."
2,"I'd definitely come back, especially for a nice occasion."
2,We made a reservation which I highly recommend as the place got really packed
2,"Bloody Mary is delicious, the food is consistently good and satisfying."
2,Split the Texas toast as a dessert and that was so delicious.
2,I am so glad my friend introduced me to Gastroteca!
2,This was my first time visiting this place and definitely will not be my last
2,The waitstaff is courteous and attentive.
2,I would go back for this dish again and sometime very soon!!
2,"My wife asked if the shrimp dish was GF and the waitress said she wasn't sure, but she'd ask the chef."
2,I thought the dish was delicious and creative
2,One hell of a timeCant wait to come back and try their brunch menu
2,If you are in Astoria area try it out
2,Dinner was excellent and expensive.
2,I am so glad we chose gastroteca.
2,I've come here for dinner on a few occasions (always with a reservation) and the food is always good.
2,I def recommend coming here for dinner
2,The food is very good and they have a variety of drinks.
2,"My waiter was wonderful, the food was stellar and I will DEFINATELY be back to Locale."
2,The egg Benedict was so-so.
2,We sat at the bar for brunch and our sandwiches were great.
2,Side dishes awesome as well
2,This place is 3 blocks from my house its amazing
2,The poach eggs were pretty good and on spot.
2,"The ingredients are always fresh, and the atmosphere is perfect for a date or a night out with some friends."
2,Definitely wont be returning
2,Ok food nothing special
2,Went to Locale last night with my girlfriend and her 8 year old son
2,And my dessert
2,Bartender was super sweet.
2,Its good to take for the weekend brunch
2,The crispy flakes of the french toast was really good with every sweet bite of nutella.
2,it's very comfortable and cozy.
2,Ok so i finally went here for dinner last night and it was AMAZING
2,Could have been better
2,Well balanced and tasty.The restaurant has a nice sunny outdoor seating.
2,"I would definitely go back for brunch, but perhaps on a weekday instead of weekend."
2,Beautiful layout too
2,Go to gastroteca
2,Basically go if youre in the area but not worth a trip out to Astoria
2,Its the house special and its incredible
2,2 orders of the Agrodolce Bacon with scallion ricotta and 1 order of the prosciutto with ricotta and fig jam
2,Prices were reasonable and inline with portion sizes.
2,Great for a romantic dinner
2,"Not sure if the brunch menu is better, but I don't think I'd go back for dinner."
2,Came on a Saturday around 1130
2,"This place is two different restaurants: a great pasta place, and a pretty crappy everything else place."
2,Staff incredibly friendly and efficient
2,If you are from out of town ask your friendsfamily that live in the area to take you here
2,Good food at reasonable prices in a beautiful restaurant with friends 
2,Whats not to like 
2,Had a lovely brunch here with friends
2,"Nice pasta, but slow slow slow service on a not very busy nightI just have returned back from Gastroteca."
2,"This restaurant is great , great food pasta and meat , great atmosphere and loa cation , I will be back soon I can Came here for brunch on a Sunday."
2,Three words: Portobello eggs Benedict!I'm always happy when a Brunch place has a good eggs Benedict.
2,Again five stars to Locale
2,"Good service, but food is pricey and the portions are ridiculously small."
2,A threefour brunch spot
2,"Service was pretty good, we got our orders relatively quick."
2,"When you go, you must save room for the peanut butter bomba."
2,The lounge area is intimate and cozy.
2,And their rosemary home fries are fantastic.
2,Would definitely come back since it is such an overall nice spot and service was relatively good.
2,"Nice, nice, nice.The physical space is nice, cozy, and feels like a slice of Brooklyn in Queens."
2,"I've also stopped in for dinner a couple of times and they do not disappoint.The waitstaff is always friendly, warm and knowledgeable about the menu, and the food is top notch.Locale is always on the top of my list of restaurants I recommend to friends new to the area."
2,Ambiance is very cool.
2,I'd go back in a heartbeat.
2,The Peanut Butter Bomba was the best guilty treat I ever had!
2,I definitely recommend the lamb ribs and the branzino
2,Poached eggs were perfect.
2,Went in without a reservation and got seated right away
2,Its just an awesome place all around
2,"Got the chicken and waffles, they should use chicken thighs instead of chicken breast, wasn't flavorful enough :/ Went here for brunch with family during the week and ate some pretty good chicken and waffle."
2,Very good first impression!
2,"Could have been better.Service - very nice, friendly and accommodating staff.The food is the only thing that was so-so."
2,Had a really great early dinner here last weekend.
2,The atmosphere is really pleasant and fun.
2,Whats the deal here
2,The environment is modern but comfortable and the staff is really pleasant and attentive.
2,Overall meh
2,I would recommend this place if you're in Astoria.
2,Drinks were delish and dessert was excellent.
2,Went here with a friend for brunch and had a decent meal
2,I would recommend this place to anyone looking for a quick brunch.
2,Fine point
2,Next time we'll try the arancini.
2,Only reason id recommend this place is to have their sugar dusted texas french toast  its a must try
2,I can see Gastroteca being one of my go-to brunch spots!
2,Anything truffle is amazing 
2,"Otherwise, it tasted pretty good."
2,"Portions are good, and quality is definitely there."
2,Shrimp grits was amazing too
2,My friend's Scampi & Grits tasted good too.
2,"This place has potential, but service is just so bad."
2,I highly recommend this Astoria hotspot in general but also for a special occasion
2,If you live in the area put this on your list
2,Its coming
2,Limited selection on the menu
2,"The crispy gnocchi was delicious as well, we really enjoyed the sauce it came in."
2,Came here for brunch on Sunday morning with my wife and my sister
2,Their brunch menu is something I'd love to check out as well!
2,The food was great until we each found hair in our food!!
2,Also for dessert the peanut butter bomba is a must try
2,Well worth the total bill nonetheless
2,There is definitely better brunch to be had in Astoria
2,The food is fresh and hormone free.
2,Been here many many times since my first review
2,Everyone is happy.
2,The lamb ribs appetizer was exceptional.
2,The food was phenomenal!
2,Great service to boot
2,I am guessing it was crack since I cannot wait to come back!
2,We have had everything on the mebu and it is fantastic
2,Great ambience nice waitress delicious food but kinda slow service
2,Let me start off by saying I don't think this place deserves less than a 4 star.
2,Definitely recommend this place and the next time we are in LIC visiting my sister we definitely want to try their dinner options
2,The location and the ambiance of the restaurant is fantastic.
2,Would highly recommend for a a quality place off the main roads in Astoria
2,The place itself is very cool.
2,Have no complaints
2,I would definitely come back here just for this carb overload.
2,Everything was made fresh and perfect for a Saturday brunch.
2,My Smoked Salmon Benedict was good.
2,"This place was cozy, especially in the back area."
2,And relatively cheap to boot
2,Saturday morning brunch at Locale with a few friends
2,Service was amazing and rumor has it that their coffee is amazing
2,The scampi & grits was an interesting combo too.
2,Meh indeed
2,Also ordered the Brunch Lasagna with bacon sausage bechamel mozzarella spinach with a fried egg on top
2,"We ordered three crostinis, artichoke, burrata - best one and a special goat cheese and beet which was also good."
2,"The restaurant was empty and service was attentive, but I cannot really get around the strangeness of the food."
2,The cocktails we ON POINT (the SkinnyGirl was fantastic) and our salads and apps were fantastic.
2,The restaurant is actually on a great corner with outdoor seating (if the weather is nice) and huge windows in the front that they'll open up sometimes.
2,The food was good- I had the baked eggs and my friend had the benedict with the pesto hollandaise.
2,One of me  my husbands favorite places for drinks
2,So the evening goes on and we had our entrees and everything was delicious.
2,I went to Locale with a friend on a Saturday night and we had a rather enjoyable experience.
2,Definitely worth a shot go check it out
2,Just nothing special either
2,Might come back sometime
2,Brunch is great too.--THE STORY--  I have been here and back a couple of times.
1,Table next to us food is brought out
1,"The server was attentive...but the place was not busy, so that wasn't too hard."
1,We all had the caramel apple pancakes and they were delicious
1,Went on Friday night my second visit as promised
1,I never had an empty coffee cupThis is definitely our new brunch spot
1,I recently went to Locale for Saturday brunch with an amazing fashionista from the locale
1,Just a joint best for weekend brunch on the food end
